Electricity.Timestep,Time,NonShiftable_Total_kWh,HardShiftable_Total_kWh,Total_Load_kWh
0,1/1/2016 00:00,0.37465694510549324,0.0030276310174808,0.37768457612297407
60,1/1/2016 01:00,0.09364411657551659,0.0029705706426634,0.09661468721817999
120,1/1/2016 02:00,0.0956239947388392,0.0029716010316432,0.09859559577048241
180,1/1/2016 03:00,0.09516101889656758,0.0029244820676721,0.09808550096423968
240,1/1/2016 04:00,0.1589161808506603,0.0029909071365364,0.16190708798719672
300,1/1/2016 05:00,0.1122401949909785,0.0029582501894354,0.11519844518041389
360,1/1/2016 06:00,0.0936721324704726,0.0029855903734259,0.0966577228438985
420,1/1/2016 07:00,0.7297639062455389,0.0029660560917005,0.7327299623372394
480,1/1/2016 08:00,0.2443459787010193,0.0029829313334174,0.2473289100344367
540,1/1/2016 09:00,0.2238012214708725,0.0076423360229274,0.2314435574937999
600,1/1/2016 10:00,0.25496357802499314,1.2616538926562477,1.5166174706812408
660,1/1/2016 11:00,0.21043015082599872,0.2297589333668036,0.44018908419280234
720,1/1/2016 12:00,0.1441814464002849,0.0163014304302984,0.16048287683058332
780,1/1/2016 13:00,0.1254994566575902,0.2325296192024493,0.3580290758600395
840,1/1/2016 14:00,0.10607118594410549,0.9647524857842191,1.0708236717283246
900,1/1/2016 15:00,0.19978415202852445,0.4634932370822965,0.663277389110821
960,1/1/2016 16:00,0.45499203806273875,0.0029905784680728,0.45798261653081157
1020,1/1/2016 17:00,0.7703762920822854,0.0029675816259226,0.773343873708208
1080,1/1/2016 18:00,0.967082611290129,0.0029601342438489,0.9700427455339778
1140,1/1/2016 19:00,0.22202804488136008,0.7507764578178925,0.9728045026992526
1200,1/1/2016 20:00,0.2184685395890208,0.029743143829131,0.2482116834181518
1260,1/1/2016 21:00,0.2353736849931815,0.10286117943267681,0.3382348644258583
1320,1/1/2016 22:00,0.1371835182044241,0.0029466412479743,0.1401301594523984
1380,1/1/2016 23:00,0.1080747366732218,0.0029937798962863,0.1110685165695081
1440,1/2/2016 00:00,0.09531023307212988,0.0029563033652093,0.09826653643733918
1500,1/2/2016 01:00,0.12235607256361569,0.0029909978683308,0.12534707043194648
1560,1/2/2016 02:00,0.15703024214350578,0.0030877832147499,0.16011802535825567
1620,1/2/2016 03:00,0.09365767516712821,0.0029831817586945,0.09664085692582271
1680,1/2/2016 04:00,0.09515722508845831,0.003000830908469,0.09815805599692731
1740,1/2/2016 05:00,0.09265169114804989,0.0029723823297023,0.09562407347775219
1800,1/2/2016 06:00,0.7014905432388301,0.0030299955558755,0.7045205387947056
1860,1/2/2016 07:00,0.4913776491459503,0.0029588498642708,0.4943364990102211
1920,1/2/2016 08:00,0.5578612533228247,0.0030288852753406,0.5608901385981653
1980,1/2/2016 09:00,1.0740314404227866,0.0030070332671381,1.0770384736899248
2040,1/2/2016 10:00,0.40606740291891513,0.0030642245736866,0.40913162749260173
2100,1/2/2016 11:00,1.261433066238092,0.0029535758902522,1.264386642128344
2160,1/2/2016 12:00,0.5067346571509976,0.0030648213218555,0.5097994784728531
2220,1/2/2016 13:00,0.1515113625999624,0.0030741138159396,0.154585476415902
2280,1/2/2016 14:00,0.13689207468977818,0.0030778538316833,0.13996992852146148
2340,1/2/2016 15:00,0.1383697788921915,0.0030016110141503,0.1413713899063418
2400,1/2/2016 16:00,0.15814493162298768,0.0029796631852076,0.16112459480819527
2460,1/2/2016 17:00,0.2003872891364463,0.0030012545939381,0.2033885437303844
2520,1/2/2016 18:00,0.24706671263571572,0.0029887937208979,0.2500555063566136
2580,1/2/2016 19:00,0.575143151104005,0.0029885009874632,0.5781316520914682
2640,1/2/2016 20:00,0.3971985288924701,0.0030011372211407,0.4001996661136108
2700,1/2/2016 21:00,0.44913918419810844,0.0030144071010741,0.45215359129918253
2760,1/2/2016 22:00,0.162243415917101,0.0030071428037827,0.1652505587208837
2820,1/2/2016 23:00,0.1967924944460747,0.0030651158621608,0.19985761030823548
2880,1/3/2016 00:00,0.10248400214042569,0.0030507944712219,0.1055347966116476
2940,1/3/2016 01:00,0.0892298908582181,0.0029899598040963,0.0922198506623144
3000,1/3/2016 02:00,0.0946565845828132,0.0029647445274224,0.0976213291102356
3060,1/3/2016 03:00,0.09456008154314019,0.0029966118844526,0.0975566934275928
3120,1/3/2016 04:00,0.1730572015033941,0.0029060618079922,0.1759632633113863
3180,1/3/2016 05:00,0.0945608019540933,0.0029878131330454,0.0975486150871387
3240,1/3/2016 06:00,0.1472956497922619,0.0029174343394923,0.1502130841317542
3300,1/3/2016 07:00,0.647585617616812,0.0029725154638068,0.6505581330806188
3360,1/3/2016 08:00,0.9078658444139678,0.0029914650814162,0.910857309495384
3420,1/3/2016 09:00,0.2080321868700886,0.0411759316950163,0.24920811856510489
3480,1/3/2016 10:00,0.15979277108724227,0.036896970194342904,0.19668974128158517
3540,1/3/2016 11:00,1.1544972682695511,0.0030117053474641,1.1575089736170152
3600,1/3/2016 12:00,0.2081840294935062,0.0031050620324209,0.2112890915259271
3660,1/3/2016 13:00,0.25835996622088386,0.0030756109707538,0.2614355771916377
3720,1/3/2016 14:00,0.2294058861189508,0.0029913842688092,0.23239727038776
3780,1/3/2016 15:00,0.3194107794479638,0.684542848649545,1.0039536280975088
3840,1/3/2016 16:00,0.36391317935030015,0.1534153651019477,0.5173285444522479
3900,1/3/2016 17:00,0.35625817108821806,0.0069677464029793005,0.36322591749119737
3960,1/3/2016 18:00,0.3902310628990436,0.0029854029438466,0.39321646584289016
4020,1/3/2016 19:00,0.6712213770430538,0.0029924721739667,0.6742138492170205
4080,1/3/2016 20:00,0.1718235874442426,0.002956707651532,0.17478029509577458
4140,1/3/2016 21:00,0.16912784249707002,0.0029794781189808,0.17210732061605083
4200,1/3/2016 22:00,0.13862081133866608,0.0029911750031395,0.14161198634180558
4260,1/3/2016 23:00,0.1647330914720054,0.0030159738296109,0.16774906530161632
4320,1/4/2016 00:00,0.14176432153368096,0.0030043114230841,0.14476863295676506
4380,1/4/2016 01:00,0.09662674658574727,0.0030308527732787,0.09965759935902598
4440,1/4/2016 02:00,0.09323560782334858,0.0029886475220321,0.09622425534538068
4500,1/4/2016 03:00,0.09383296228424422,0.002966625178061,0.09679958746230521
4560,1/4/2016 04:00,0.1181907470305721,0.0030364225165168,0.1212271695470889
4620,1/4/2016 05:00,0.1786206285844639,0.0030600618295688,0.1816806904140327
4680,1/4/2016 06:00,0.5387168321013749,0.0030180911754321,0.541734923276807
4740,1/4/2016 07:00,0.2810747755902969,0.0029865469841478,0.2840613225744447
4800,1/4/2016 08:00,0.6993735639708317,0.6584163488549472,1.3577899128257789
4860,1/4/2016 09:00,0.7413378932333463,0.1070182898750077,0.848356183108354
4920,1/4/2016 10:00,0.268141586862334,0.0964002936680193,0.3645418805303533
4980,1/4/2016 11:00,0.4850303339949038,0.6931240344313987,1.1781543684263025
5040,1/4/2016 12:00,0.12264397944570271,0.810562781148301,0.9332067605940038
5100,1/4/2016 13:00,0.809113587604047,0.1838142645200005,0.9929278521240474
5160,1/4/2016 14:00,1.6302935258393956,0.015663624734758002,1.6459571505741535
5220,1/4/2016 15:00,0.1523142004235853,0.0300976979763549,0.18241189839994018
5280,1/4/2016 16:00,0.44310150529277137,0.0301094588438753,0.47321096413664665
5340,1/4/2016 17:00,0.643079740563569,0.0263499426188597,0.6694296831824287
5400,1/4/2016 18:00,0.372358633896061,0.0029755566086481,0.3753341905047091
5460,1/4/2016 19:00,0.2949548977934232,0.0041185999791639,0.2990734977725871
5520,1/4/2016 20:00,0.17257280567746894,0.8184522693148557,0.9910250749923246
5580,1/4/2016 21:00,0.24416345728734995,0.0598498764034204,0.3040133336907703
5640,1/4/2016 22:00,0.14779545291633747,0.1052196699546015,0.25301512287093897
5700,1/4/2016 23:00,0.10155032182103921,0.0029455738152918,0.10449589563633101
5760,1/5/2016 00:00,0.094457825120064,0.0029716760282652,0.0974295011483292
5820,1/5/2016 01:00,0.13069449936915578,0.0029916372577996,0.1336861366269554
5880,1/5/2016 02:00,0.14854262624243927,0.0030522358012953,0.15159486204373457
5940,1/5/2016 03:00,0.09436067754203971,0.002995721445758,0.09735639898779772
6000,1/5/2016 04:00,0.09390288132912829,0.0029824164428576,0.09688529777198589
6060,1/5/2016 05:00,0.0959236940511477,0.0029601038052136,0.0988837978563613
6120,1/5/2016 06:00,0.1390213696591287,0.0029604300236403,0.141981799682769
6180,1/5/2016 07:00,0.7364052369803977,0.0029811817489972,0.7393864187293949
6240,1/5/2016 08:00,0.126752469609923,0.0684917057580397,0.1952441753679627
6300,1/5/2016 09:00,1.0038418783603842,0.0030620298797155,1.0069039082400997
6360,1/5/2016 10:00,0.5260639166128123,0.0030612237280585,0.5291251403408708
6420,1/5/2016 11:00,1.007272839776663,0.0029840235513591,1.0102568633280222
6480,1/5/2016 12:00,0.5732853084094846,0.003010934863027,0.5762962432725115
6540,1/5/2016 13:00,0.17252401480976406,0.0029351033845047,0.17545911819426876
6600,1/5/2016 14:00,0.16279329837342546,0.0030907591758128,0.16588405754923827
6660,1/5/2016 15:00,0.15176380807806775,0.0030630526308444,0.15482686070891213
6720,1/5/2016 16:00,0.3550824716192563,0.0030296066053754,0.3581120782246317
6780,1/5/2016 17:00,0.17904376026693072,0.0030320275486513,0.18207578781558204
6840,1/5/2016 18:00,0.32647262834865526,0.0029616375070647,0.32943426585571994
6900,1/5/2016 19:00,0.18569663086819158,0.0029943680668724,0.18869099893506397
6960,1/5/2016 20:00,0.4293781589423916,0.0030541240392692,0.4324322829816608
7020,1/5/2016 21:00,0.21374374897971643,0.0029587055134197,0.21670245449313613
7080,1/5/2016 22:00,0.12678454047778198,0.0029977157498346,0.12978225622761658
7140,1/5/2016 23:00,0.0952744265780589,0.0030043233542601,0.098278749932319
7200,1/6/2016 00:00,0.09377938940154491,0.0029316065000852,0.09671099590163011
7260,1/6/2016 01:00,0.09499758714740152,0.0029599118982968,0.09795749904569831
7320,1/6/2016 02:00,0.18147030739583697,0.0029969640315781,0.18446727142741506
7380,1/6/2016 03:00,0.10617748981544273,0.0030292159281655,0.10920670574360823
7440,1/6/2016 04:00,0.09390136378122571,0.0030031409102416,0.09690450469146732
7500,1/6/2016 05:00,0.09409015557678889,0.0029769323834485,0.09706708796023739
7560,1/6/2016 06:00,0.5053009016434541,0.0029807798935173,0.5082816815369714
7620,1/6/2016 07:00,0.6960889187970003,0.0030578161609478,0.6991467349579481
7680,1/6/2016 08:00,0.718518162723187,0.0029825479813513,0.7215007107045384
7740,1/6/2016 09:00,0.3365573757124,0.7010437998739648,1.0376011755863648
7800,1/6/2016 10:00,0.4251926031783178,0.1207286604514093,0.5459212636297271
7860,1/6/2016 11:00,0.42866885287706974,0.0058238382230133,0.43449269110008304
7920,1/6/2016 12:00,0.45002185752592694,0.0029827963466594,0.4530046538725863
7980,1/6/2016 13:00,0.2986331979607274,0.0029841236278083,0.3016173215885357
8040,1/6/2016 14:00,0.5424688725380878,0.0029768995698843,0.5454457721079722
8100,1/6/2016 15:00,0.24369522958668785,0.003044076650966,0.24673930623765386
8160,1/6/2016 16:00,0.282052555272151,0.0029977844286884,0.28505033970083943
8220,1/6/2016 17:00,0.18750511508533657,0.0030002647954322,0.19050537988076877
8280,1/6/2016 18:00,0.21512031031692902,0.0029851204608853,0.21810543077781433
8340,1/6/2016 19:00,0.2674553263308296,0.0029730935080026,0.2704284198388322
8400,1/6/2016 20:00,0.1932763344707137,0.0030738416545745,0.1963501761252882
8460,1/6/2016 21:00,0.2223645333550672,0.0029667325345432,0.2253312658896104
8520,1/6/2016 22:00,0.1874718593813457,0.002972076499906,0.1904439358812517
8580,1/6/2016 23:00,0.09471786172236402,0.0029950118158076,0.09771287353817161
8640,1/7/2016 00:00,0.09594345672350499,0.0029548470795353,0.0988983038030403
8700,1/7/2016 01:00,0.09343751819185041,0.0030045362981773,0.09644205449002771
8760,1/7/2016 02:00,0.09461250197813188,0.0029667285205688,0.09757923049870068
8820,1/7/2016 03:00,0.1457736369731159,0.0030036262202654,0.1487772631933813
8880,1/7/2016 04:00,0.13787325695865318,0.0029691752429596,0.14084243220161277
8940,1/7/2016 05:00,0.0940942977498608,0.0030406145557139,0.09713491230557471
9000,1/7/2016 06:00,0.8062461236727262,0.0030321008501996,0.8092782245229257
9060,1/7/2016 07:00,0.6856059585094046,0.0029706706798113,0.6885766291892159
9120,1/7/2016 08:00,0.46065803635939995,0.08331858618667881,0.5439766225460787
9180,1/7/2016 09:00,0.7951465168461767,0.5402057327257462,1.335352249571923
9240,1/7/2016 10:00,0.6429731621217113,0.3771848243568477,1.020157986478559
9300,1/7/2016 11:00,0.1742817186746748,0.5265316910161606,0.7008134096908354
9360,1/7/2016 12:00,0.255625805743333,0.7822377389585001,1.0378635447018332
9420,1/7/2016 13:00,0.5397364643557735,0.8167111812808566,1.3564476456366301
9480,1/7/2016 14:00,0.4594769418352186,0.2520124931630402,0.7114894349982588
9540,1/7/2016 15:00,0.28707638093145116,0.0029648488708018,0.29004122980225294
9600,1/7/2016 16:00,0.10556470834862161,0.0030220460282879,0.10858675437690951
9660,1/7/2016 17:00,0.3391601226255952,0.0030414239982721,0.3422015466238673
9720,1/7/2016 18:00,0.7031903622972229,0.0030652331310737,0.7062555954282965
9780,1/7/2016 19:00,0.26195441508114514,0.0029197697416843,0.26487418482282943
9840,1/7/2016 20:00,0.3507709316084816,0.0030171120215921,0.3537880436300737
9900,1/7/2016 21:00,0.1887044207528911,0.0029760072160234,0.1916804279689145
9960,1/7/2016 22:00,0.18000652557274946,0.0030001525199215,0.18300667809267096
10020,1/7/2016 23:00,0.1799720042173088,0.0029523292081819,0.1829243334254907
10080,1/8/2016 00:00,0.10069188527590549,0.0029968685657669,0.1036887538416724
10140,1/8/2016 01:00,0.0974584054973568,0.0029818130059203,0.10044021850327711
10200,1/8/2016 02:00,0.0954492338608812,0.0029434040494431,0.0983926379103243
10260,1/8/2016 03:00,0.09476687449690317,0.0030315011453486,0.09779837564225177
10320,1/8/2016 04:00,0.1520199487981798,0.0030361979279772,0.155056146726157
10380,1/8/2016 05:00,0.11355245196251289,0.0029983978111916,0.11655084977370449
10440,1/8/2016 06:00,0.4623642216817805,0.003019327271974,0.4653835489537545
