Latitude (decimal degrees):	45.044
Longitude (decimal degrees):	7.639
Elevation (m):	257
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	83.2
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190330:1030,65163.94,891.04,132.5,19.86,46.38,15.55,0.48,0.0
20190330:1130,67073.69,926.58,133.87,20.73,48.72,16.65,0.69,0.0
20190330:1230,64687.75,882.8,130.52,20.06,46.98,17.56,0.9,0.0
20190330:1330,57857.08,764.01,122.57,17.9,41.61,18.18,1.1,0.0
20190330:1430,46254.53,583.14,109.21,14.44,33.7,18.48,1.17,0.0
20190330:1530,30129.01,362.97,88.79,10.02,24.27,18.45,1.24,0.0
20190330:1630,11187.97,140.93,57.89,5.16,14.03,18.04,1.24,0.0
20190330:1730,341.32,0.0,13.89,0.45,3.47,16.87,0.9,0.0
20190330:1830,0.0,0.0,0.0,0.0,0.0,16.49,0.62,0.0
20190330:1930,0.0,0.0,0.0,0.0,0.0,15.24,0.41,0.0
20190330:2030,0.0,0.0,0.0,0.0,0.0,14.13,0.48,0.0
20190330:2130,0.0,0.0,0.0,0.0,0.0,12.85,0.69,0.0
20190330:2230,0.0,0.0,0.0,0.0,0.0,10.68,1.03,0.0
20190330:2330,0.0,0.0,0.0,0.0,0.0,7.85,1.17,0.0
20190331:0030,0.0,0.0,0.0,0.0,0.0,6.17,1.24,0.0
20190331:0130,0.0,0.0,0.0,0.0,0.0,5.4,1.17,0.0
20190331:0230,0.0,0.0,0.0,0.0,0.0,4.91,1.1,0.0
20190331:0330,0.0,0.0,0.0,0.0,0.0,4.49,1.03,0.0
20190331:0430,0.0,0.0,0.0,0.0,0.0,3.94,1.1,0.0
20190331:0530,265.57,0.0,11.79,0.35,2.21,3.59,1.1,0.0
20190331:0630,13986.0,160.15,61.47,4.67,12.79,3.9,0.97,0.0
20190331:0730,33300.0,381.53,96.01,9.5,23.11,8.76,0.62,0.0
20190331:0830,48336.62,604.52,113.47,14.03,32.72,12.82,0.21,0.0
20190331:0930,58594.68,775.03,127.78,17.58,40.93,15.26,0.34,0.0
20190331:1030,64389.71,878.73,137.97,19.86,46.77,16.83,0.48,0.0
20190331:1130,66489.28,917.79,137.65,20.76,49.11,17.99,0.76,0.0
20190331:1230,64247.36,881.07,129.86,20.13,47.33,18.88,0.97,0.0
20190331:1330,56246.2,729.62,133.79,17.59,41.92,19.48,1.17,0.0
20190331:1430,45831.62,574.83,113.58,14.48,33.97,19.68,1.31,0.0
20190331:1530,29671.13,351.36,95.73,10.04,24.51,19.64,1.31,0.0
20190331:1630,11165.49,142.3,57.47,5.27,14.25,19.2,1.24,0.0
20190331:1730,368.8,0.0,14.49,0.47,3.69,17.73,0.76,0.0
20190331:1830,0.0,0.0,0.0,0.0,0.0,17.64,0.55,0.0
20190331:1930,0.0,0.0,0.0,0.0,0.0,16.59,0.55,0.0
20190331:2030,0.0,0.0,0.0,0.0,0.0,15.36,0.83,0.0
20190331:2130,0.0,0.0,0.0,0.0,0.0,13.84,0.97,0.0
20190331:2230,0.0,0.0,0.0,0.0,0.0,10.55,1.1,0.0
20190331:2330,0.0,0.0,0.0,0.0,0.0,7.82,1.24,0.0
20190401:0030,0.0,0.0,0.0,0.0,0.0,6.41,1.31,0.0
20190401:0130,0.0,0.0,0.0,0.0,0.0,5.72,1.24,0.0
20190401:0230,0.0,0.0,0.0,0.0,0.0,5.36,1.17,0.0
20190401:0330,0.0,0.0,0.0,0.0,0.0,5.12,1.1,0.0
20190401:0430,0.0,0.0,0.0,0.0,0.0,4.72,1.03,0.0
20190401:0530,374.62,8.08,12.29,0.78,2.54,4.28,1.03,0.0
20190401:0630,13011.98,127.31,77.68,4.52,13.12,4.71,0.9,0.0
20190401:0730,30569.4,306.18,132.14,9.04,23.45,9.24,0.62,0.0
20190401:0830,43518.1,456.19,187.04,13.06,33.07,13.31,0.14,0.0
20190401:0930,54633.64,616.44,213.66,16.63,41.31,15.71,0.62,0.0
20190401:1030,60149.79,660.04,258.35,18.56,47.17,17.14,1.45,0.0
20190401:1130,60652.62,646.67,280.74,18.98,49.5,18.08,1.72,0.0
20190401:1230,57181.93,581.0,288.03,18.14,47.69,18.68,1.79,0.0
20190401:1330,51659.12,558.42,219.27,16.32,42.22,19.08,1.66,0.0
20190401:1430,36492.64,315.89,223.96,12.15,34.23,19.28,1.52,0.0
20190401:1530,21760.72,161.84,165.02,7.96,24.75,19.06,1.31,0.0
20190401:1630,7315.18,28.54,96.56,3.55,14.47,18.61,0.9,0.0
20190401:1730,573.59,0.0,18.49,0.6,3.9,17.95,0.14,0.0
20190401:1830,0.0,0.0,0.0,0.0,0.0,16.33,0.9,0.0
20190401:1930,0.0,0.0,0.0,0.0,0.0,13.08,1.52,0.0
20190401:2030,0.0,0.0,0.0,0.0,0.0,11.29,1.66,0.0
20190401:2130,0.0,0.0,0.0,0.0,0.0,9.97,1.66,0.0
20190401:2230,0.0,0.0,0.0,0.0,0.0,8.98,1.59,0.0
20190401:2330,0.0,0.0,0.0,0.0,0.0,7.84,1.59,0.0
20190402:0030,0.0,0.0,0.0,0.0,0.0,6.86,1.66,0.0
20190402:0130,0.0,0.0,0.0,0.0,0.0,6.27,1.66,0.0
20190402:0230,0.0,0.0,0.0,0.0,0.0,5.92,1.59,0.0
20190402:0330,0.0,0.0,0.0,0.0,0.0,5.67,1.52,0.0
20190402:0430,0.0,0.0,0.0,0.0,0.0,5.25,1.52,0.0
20190402:0530,475.36,5.71,14.66,0.75,2.86,5.14,1.45,0.0
20190402:0630,8118.54,31.55,96.92,3.39,13.45,5.94,1.24,0.0
20190402:0730,22957.02,164.08,166.33,7.51,23.79,10.38,0.83,0.0
20190402:0830,35735.06,302.09,219.36,11.26,33.43,14.17,0.41,0.0
20190402:0930,44387.23,384.22,275.09,14.13,41.68,15.92,0.69,0.0
20190402:1030,51425.19,478.49,296.26,16.37,47.56,16.94,1.03,0.0
20190402:1130,52324.29,467.96,324.04,16.99,49.89,17.75,1.17,0.0
20190402:1230,43072.72,319.43,322.69,14.58,48.04,18.35,1.17,0.0
20190402:1330,27967.84,141.28,271.02,10.32,42.53,18.48,0.97,0.0
20190402:1430,19364.78,72.2,216.55,7.66,34.5,18.28,0.69,0.0
20190402:1530,10149.84,16.37,142.9,4.55,24.98,17.86,1.24,0.0
20190402:1630,5276.38,2.44,88.36,2.68,14.69,17.16,1.52,0.0
20190402:1730,505.33,0.0,17.09,0.55,4.12,16.19,0.83,0.0
20190402:1830,0.0,0.0,0.0,0.0,0.0,14.33,1.17,0.0
20190402:1930,0.0,0.0,0.0,0.0,0.0,13.76,0.9,0.0
20190402:2030,0.0,0.0,0.0,0.0,0.0,13.49,0.69,0.0
20190402:2130,0.0,0.0,0.0,0.0,0.0,12.32,0.69,0.0
20190402:2230,0.0,0.0,0.0,0.0,0.0,11.3,0.76,0.0
20190402:2330,0.0,0.0,0.0,0.0,0.0,10.53,0.83,0.0
20190403:0030,0.0,0.0,0.0,0.0,0.0,9.55,0.97,0.0
20190403:0130,0.0,0.0,0.0,0.0,0.0,8.55,1.1,0.0
20190403:0230,0.0,0.0,0.0,0.0,0.0,7.95,1.17,0.0
20190403:0330,0.0,0.0,0.0,0.0,0.0,7.31,1.24,0.0
20190403:0430,0.0,0.0,0.0,0.0,0.0,7.0,1.24,0.0
20190403:0530,74.09,1.96,7.09,0.31,3.19,6.82,1.24,0.0
20190403:0630,4533.8,36.05,45.18,2.04,13.77,7.1,1.24,0.0
20190403:0730,12798.86,113.78,74.8,4.28,24.12,8.64,1.52,0.0
20190403:0830,21346.96,191.69,109.08,6.63,33.78,9.36,1.24,0.0
20190403:0930,18812.84,127.78,140.24,6.37,42.06,10.38,1.17,0.0
20190403:1030,25094.05,187.01,167.26,8.19,47.95,11.16,1.31,0.0
20190403:1130,35077.39,333.84,161.84,10.73,50.27,12.0,1.45,0.0
20190403:1230,28218.42,193.57,206.81,9.46,48.39,13.0,1.86,0.0
20190403:1330,13602.22,47.47,153.8,5.42,42.83,13.43,2.28,0.0
20190403:1430,10184.8,50.77,104.3,4.08,34.76,13.06,1.79,0.0
20190403:1530,6833.16,19.68,90.68,3.1,25.21,12.42,1.45,0.0
20190403:1630,2155.34,3.27,41.06,1.31,14.91,11.6,1.24,0.0
20190403:1730,76.59,0.0,7.68,0.25,4.34,10.77,1.24,0.0
20190403:1830,0.0,0.0,0.0,0.0,0.0,9.88,1.1,0.0
20190403:1930,0.0,0.0,0.0,0.0,0.0,8.7,1.38,0.0
20190403:2030,0.0,0.0,0.0,0.0,0.0,8.42,1.31,0.0
20190403:2130,0.0,0.0,0.0,0.0,0.0,8.2,1.24,0.0
20190403:2230,0.0,0.0,0.0,0.0,0.0,8.16,1.03,0.0
20190403:2330,0.0,0.0,0.0,0.0,0.0,8.23,0.9,0.0
20190404:0030,0.0,0.0,0.0,0.0,0.0,8.29,1.1,0.0
20190404:0130,0.0,0.0,0.0,0.0,0.0,8.24,1.1,0.0
20190404:0230,0.0,0.0,0.0,0.0,0.0,8.29,0.97,0.0
20190404:0330,0.0,0.0,0.0,0.0,0.0,8.34,0.69,0.0
20190404:0430,0.0,0.0,0.0,0.0,0.0,8.52,0.41,0.0
20190404:0530,69.1,0.21,7.41,0.23,3.52,8.7,0.21,0.0
20190404:0630,1603.4,0.0,34.94,1.04,14.1,8.82,0.14,0.0
20190404:0730,8062.76,51.24,73.48,3.12,24.46,7.63,1.03,0.0
20190404:0830,20490.32,115.14,173.56,7.05,34.13,7.97,1.31,0.0
20190404:0930,30849.12,257.19,175.99,9.62,42.43,9.49,0.9,0.0
20190404:1030,39348.11,316.82,245.52,12.51,48.34,10.4,0.62,0.0
20190404:1130,40208.92,293.67,283.71,13.18,50.65,11.17,0.76,0.0
20190404:1230,33521.44,258.44,220.07,10.99,48.74,11.86,0.69,0.0
20190404:1330,37162.8,338.95,191.43,11.81,43.13,11.97,0.97,0.0
20190404:1430,25191.45,203.42,155.04,8.45,35.02,11.85,1.17,0.0
20190404:1530,17947.04,149.73,113.2,6.49,25.45,11.53,1.17,0.0
20190404:1630,5756.74,34.98,66.28,2.91,15.13,11.19,1.31,0.0
