Latitude (decimal degrees):	45.045
Longitude (decimal degrees):	7.636
Elevation (m):	262
Radiation database:	PVGIS-SARAH3


Slope: 41 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	31.8
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20201226:1210,22178.01,723.25,119.4,8.81,20.96,6.2,0.97,0.0
20201226:1310,19818.03,631.93,111.21,7.35,17.84,6.32,1.03,0.0
20201226:1410,15398.43,477.05,93.33,4.86,12.42,6.05,0.83,0.0
20201226:1510,7405.37,233.39,47.74,1.61,5.16,5.26,0.48,0.0
20201226:1610,0.0,0.0,0.0,0.0,0.0,4.33,0.48,0.0
20201226:1710,0.0,0.0,0.0,0.0,0.0,3.64,0.48,0.0
20201226:1810,0.0,0.0,0.0,0.0,0.0,3.16,0.55,0.0
20201226:1910,0.0,0.0,0.0,0.0,0.0,4.34,0.62,0.0
20201226:2010,0.0,0.0,0.0,0.0,0.0,3.23,0.76,0.0
20201226:2110,0.0,0.0,0.0,0.0,0.0,2.24,0.76,0.0
20201226:2210,0.0,0.0,0.0,0.0,0.0,1.48,0.69,0.0
20201226:2310,0.0,0.0,0.0,0.0,0.0,0.73,0.55,0.0
20201227:0010,0.0,0.0,0.0,0.0,0.0,0.22,0.41,0.0
20201227:0110,0.0,0.0,0.0,0.0,0.0,0.08,0.48,0.0
20201227:0210,0.0,0.0,0.0,0.0,0.0,0.06,0.62,0.0
20201227:0310,0.0,0.0,0.0,0.0,0.0,-0.04,0.76,0.0
20201227:0410,0.0,0.0,0.0,0.0,0.0,-0.25,0.97,0.0
20201227:0510,0.0,0.0,0.0,0.0,0.0,-0.59,0.97,0.0
20201227:0610,0.0,0.0,0.0,0.0,0.0,-0.85,0.97,0.0
20201227:0710,0.0,0.0,0.0,0.0,0.0,-2.81,1.1,0.0
20201227:0810,1266.82,12.4,45.6,1.27,7.87,-1.92,0.83,0.0
20201227:0910,2864.8,20.22,92.99,2.64,14.56,-1.06,0.55,0.0
20201227:1010,3374.07,12.67,118.42,3.34,19.24,0.17,0.55,0.0
20201227:1110,5293.68,41.07,155.06,4.47,21.47,0.76,0.62,0.0
20201227:1210,5336.54,43.76,154.04,4.44,21.01,1.11,0.69,0.0
20201227:1310,6429.69,85.61,149.22,4.37,17.91,1.13,0.69,0.0
20201227:1410,3763.33,49.35,95.25,2.71,12.5,0.67,0.62,0.0
20201227:1510,727.71,10.7,27.97,0.78,5.26,0.05,0.41,0.0
20201227:1610,0.0,0.0,0.0,0.0,0.0,-0.68,0.41,0.0
20201227:1710,0.0,0.0,0.0,0.0,0.0,-1.23,0.21,0.0
20201227:1810,0.0,0.0,0.0,0.0,0.0,-1.44,0.28,0.0
20201227:1910,0.0,0.0,0.0,0.0,0.0,-1.51,0.97,0.0
20201227:2010,0.0,0.0,0.0,0.0,0.0,-1.55,0.83,0.0
20201227:2110,0.0,0.0,0.0,0.0,0.0,-1.7,0.62,0.0
20201227:2210,0.0,0.0,0.0,0.0,0.0,-1.84,0.48,0.0
20201227:2310,0.0,0.0,0.0,0.0,0.0,-1.86,0.28,0.0
20201228:0010,0.0,0.0,0.0,0.0,0.0,-1.97,0.41,0.0
20201228:0110,0.0,0.0,0.0,0.0,0.0,-2.04,0.41,0.0
20201228:0210,0.0,0.0,0.0,0.0,0.0,-2.03,0.62,0.0
20201228:0310,0.0,0.0,0.0,0.0,0.0,-1.97,0.62,0.0
20201228:0410,0.0,0.0,0.0,0.0,0.0,-1.88,0.9,0.0
20201228:0510,0.0,0.0,0.0,0.0,0.0,-1.83,0.9,0.0
20201228:0610,0.0,0.0,0.0,0.0,0.0,-1.79,0.83,0.0
20201228:0710,0.0,0.0,0.0,0.0,0.0,-3.11,0.97,0.0
20201228:0810,1811.02,24.81,52.18,1.44,7.85,-2.77,0.97,0.0
20201228:0910,6825.62,115.46,129.36,3.78,14.55,-2.06,0.97,0.0
20201228:1010,13922.38,306.16,188.02,6.35,19.25,-1.02,0.76,0.0
20201228:1110,4070.35,16.89,137.79,3.91,21.51,0.24,0.48,0.0
20201228:1210,15687.36,364.02,202.36,7.23,21.07,0.75,0.48,0.0
20201228:1310,14572.93,349.29,173.68,6.2,17.99,1.03,0.83,0.0
20201228:1410,15143.16,445.07,98.93,4.76,12.59,1.07,1.24,0.0
20201228:1510,5112.38,142.33,51.47,1.44,5.35,0.26,0.97,0.0
20201228:1610,0.0,0.0,0.0,0.0,0.0,0.02,0.9,0.0
20201228:1710,0.0,0.0,0.0,0.0,0.0,-0.54,0.48,0.0
20201228:1810,0.0,0.0,0.0,0.0,0.0,-1.29,0.28,0.0
20201228:1910,0.0,0.0,0.0,0.0,0.0,-1.26,0.48,0.0
20201228:2010,0.0,0.0,0.0,0.0,0.0,-1.62,0.69,0.0
20201228:2110,0.0,0.0,0.0,0.0,0.0,-1.39,0.76,0.0
20201228:2210,0.0,0.0,0.0,0.0,0.0,-1.58,0.48,0.0
20201228:2310,0.0,0.0,0.0,0.0,0.0,-1.99,0.14,0.0
20201229:0010,0.0,0.0,0.0,0.0,0.0,-2.51,0.07,0.0
20201229:0110,0.0,0.0,0.0,0.0,0.0,-2.9,0.21,0.0
20201229:0210,0.0,0.0,0.0,0.0,0.0,-3.16,0.21,0.0
20201229:0310,0.0,0.0,0.0,0.0,0.0,-3.26,0.34,0.0
20201229:0410,0.0,0.0,0.0,0.0,0.0,-3.62,0.48,0.0
20201229:0510,0.0,0.0,0.0,0.0,0.0,-3.71,0.48,0.0
20201229:0610,0.0,0.0,0.0,0.0,0.0,-3.83,0.48,0.0
20201229:0710,0.0,0.0,0.0,0.0,0.0,-3.02,0.34,0.0
20201229:0810,10884.22,314.18,75.65,2.69,7.84,-2.58,0.34,0.0
20201229:0910,14110.65,363.26,140.07,5.15,14.56,-1.82,0.28,0.0
20201229:1010,14336.71,323.4,190.18,6.49,19.28,-0.43,0.34,0.0
20201229:1110,16218.54,382.91,207.04,7.49,21.56,1.18,0.28,0.0
20201229:1210,7226.62,89.6,174.56,5.15,21.14,2.32,0.21,0.0
20201229:1310,13127.04,299.24,177.32,5.98,18.07,2.9,0.34,0.0
20201229:1410,11454.45,290.09,126.1,4.25,12.69,2.88,0.41,0.0
20201229:1510,5784.22,166.07,53.56,1.54,5.46,2.27,0.28,0.0
20201229:1610,0.0,0.0,0.0,0.0,0.0,1.33,0.21,0.0
20201229:1710,0.0,0.0,0.0,0.0,0.0,0.61,0.69,0.0
20201229:1810,0.0,0.0,0.0,0.0,0.0,-0.37,1.03,0.0
20201229:1910,0.0,0.0,0.0,0.0,0.0,-0.75,0.55,0.0
20201229:2010,0.0,0.0,0.0,0.0,0.0,-1.04,0.97,0.0
20201229:2110,0.0,0.0,0.0,0.0,0.0,-0.92,0.69,0.0
20201229:2210,0.0,0.0,0.0,0.0,0.0,-0.9,0.21,0.0
20201229:2310,0.0,0.0,0.0,0.0,0.0,-1.05,0.48,0.0
20201230:0010,0.0,0.0,0.0,0.0,0.0,-1.07,0.62,0.0
20201230:0110,0.0,0.0,0.0,0.0,0.0,-0.74,0.69,0.0
20201230:0210,0.0,0.0,0.0,0.0,0.0,-0.44,0.62,0.0
20201230:0310,0.0,0.0,0.0,0.0,0.0,-0.35,0.55,0.0
20201230:0410,0.0,0.0,0.0,0.0,0.0,-0.2,0.76,0.0
20201230:0510,0.0,0.0,0.0,0.0,0.0,-0.1,0.76,0.0
20201230:0610,0.0,0.0,0.0,0.0,0.0,0.01,0.76,0.0
20201230:0710,0.0,0.0,0.0,0.0,0.0,-0.78,0.76,0.0
20201230:0810,10820.72,313.86,75.64,2.69,7.83,-0.58,0.83,0.0
20201230:0910,18788.06,604.48,81.04,6.05,14.57,0.28,0.62,0.0
20201230:1010,19718.66,592.71,142.07,7.69,19.31,2.44,0.28,0.0
20201230:1110,22722.52,752.3,113.95,9.13,21.61,3.52,0.34,0.0
20201230:1210,22151.34,717.49,121.7,8.86,21.21,4.01,0.55,0.0
20201230:1310,19965.99,640.21,108.74,7.47,18.16,4.27,0.48,0.0
20201230:1410,15719.42,491.93,88.89,5.0,12.79,4.24,0.41,0.0
20201230:1510,5708.97,163.38,54.79,1.56,5.57,3.57,0.21,0.0
20201230:1610,0.0,0.0,0.0,0.0,0.0,3.0,0.14,0.0
20201230:1710,0.0,0.0,0.0,0.0,0.0,2.67,0.21,0.0
20201230:1810,0.0,0.0,0.0,0.0,0.0,2.73,0.41,0.0
20201230:1910,0.0,0.0,0.0,0.0,0.0,1.65,0.62,0.0
20201230:2010,0.0,0.0,0.0,0.0,0.0,0.83,0.41,0.0
20201230:2110,0.0,0.0,0.0,0.0,0.0,-0.21,0.28,0.0
20201230:2210,0.0,0.0,0.0,0.0,0.0,-0.61,0.41,0.0
20201230:2310,0.0,0.0,0.0,0.0,0.0,-0.81,0.62,0.0
20201231:0010,0.0,0.0,0.0,0.0,0.0,-0.97,0.62,0.0
20201231:0110,0.0,0.0,0.0,0.0,0.0,-1.29,0.76,0.0
20201231:0210,0.0,0.0,0.0,0.0,0.0,-1.61,0.83,0.0
20201231:0310,0.0,0.0,0.0,0.0,0.0,-1.68,0.62,0.0
20201231:0410,0.0,0.0,0.0,0.0,0.0,-1.9,0.55,0.0
20201231:0510,0.0,0.0,0.0,0.0,0.0,-1.98,0.62,0.0
20201231:0610,0.0,0.0,0.0,0.0,0.0,-2.08,0.76,0.0
20201231:0710,0.0,0.0,0.0,0.0,0.0,-1.71,0.83,0.0
20201231:0810,11504.3,342.17,70.29,2.76,7.83,-1.32,0.9,0.0
20201231:0910,16377.29,465.38,120.53,5.54,14.58,-0.89,0.9,0.0
20201231:1010,22735.86,762.65,82.4,8.4,19.35,-0.15,0.55,0.0
20201231:1110,23851.55,798.58,97.89,9.37,21.67,0.26,0.48,0.0
20201231:1210,23191.15,763.77,106.18,9.1,21.29,0.69,0.48,0.0
20201231:1310,20547.96,653.3,105.62,7.57,18.26,1.54,0.69,0.0
20201231:1410,16262.98,504.1,87.48,5.1,12.9,1.55,0.69,0.0
20201231:1510,8664.26,271.08,49.55,1.86,5.69,1.34,0.48,0.0
20201231:1610,0.0,0.0,0.0,0.0,0.0,0.73,0.21,0.0
20201231:1710,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.0
20201231:1810,0.0,0.0,0.0,0.0,0.0,-0.06,0.34,0.0
20201231:1910,0.0,0.0,0.0,0.0,0.0,1.33,0.41,0.0
20201231:2010,0.0,0.0,0.0,0.0,0.0,1.22,0.21,0.0
20201231:2110,0.0,0.0,0.0,0.0,0.0,1.07,0.55,0.0
20201231:2210,0.0,0.0,0.0,0.0,0.0,1.04,0.41,0.0
20201231:2310,0.0,0.0,0.0,0.0,0.0,1.01,0.21,0.0
20210101:0010,0.0,0.0,0.0,0.0,0.0,1.03,0.28,0.0
20210101:0110,0.0,0.0,0.0,0.0,0.0,0.97,0.48,0.0
20210101:0210,0.0,0.0,0.0,0.0,0.0,0.94,0.48,0.0
20210101:0310,0.0,0.0,0.0,0.0,0.0,0.78,0.41,0.0
20210101:0410,0.0,0.0,0.0,0.0,0.0,0.6,0.48,0.0
20210101:0510,0.0,0.0,0.0,0.0,0.0,0.47,0.48,0.0
20210101:0610,0.0,0.0,0.0,0.0,0.0,0.35,0.34,0.0
20210101:0710,0.0,0.0,0.0,0.0,0.0,-0.37,0.21,0.0
20210101:0810,598.8,0.0,33.34,0.93,7.84,-0.37,0.28,0.0
20210101:0910,1256.03,0.0,57.9,1.61,14.62,-0.25,0.14,0.0
20210101:1010,3145.47,10.04,113.38,3.2,19.41,0.03,0.14,0.0
20210101:1110,4732.66,28.69,148.44,4.25,21.76,0.22,0.21,0.0
20210101:1210,5120.0,38.41,151.66,4.37,21.4,0.31,0.41,0.0
20210101:1310,4735.83,43.34,133.71,3.86,18.39,0.3,0.41,0.0
20210101:1410,2321.88,14.97,80.38,2.27,13.05,0.29,0.41,0.0
20210101:1510,339.41,0.0,22.81,0.63,5.84,0.21,0.41,0.0
20210101:1610,0.0,0.0,0.0,0.0,0.0,0.12,0.55,0.0
20210101:1710,0.0,0.0,0.0,0.0,0.0,0.08,0.28,0.0
20210101:1810,0.0,0.0,0.0,0.0,0.0,-0.06,0.41,0.0
20210101:1910,0.0,0.0,0.0,0.0,0.0,-0.75,0.76,0.0
20210101:2010,0.0,0.0,0.0,0.0,0.0,-0.23,0.41,0.0
20210101:2110,0.0,0.0,0.0,0.0,0.0,-0.2,0.14,0.0
20210101:2210,0.0,0.0,0.0,0.0,0.0,-0.17,0.21,0.0
20210101:2310,0.0,0.0,0.0,0.0,0.0,-0.06,0.21,0.0
20210102:0010,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0
20210102:0110,0.0,0.0,0.0,0.0,0.0,-0.67,0.9,0.0
20210102:0210,0.0,0.0,0.0,0.0,0.0,-0.45,0.76,0.0
20210102:0310,0.0,0.0,0.0,0.0,0.0,-0.36,0.69,0.0
20210102:0410,0.0,0.0,0.0,0.0,0.0,-0.45,0.97,0.0
20210102:0510,0.0,0.0,0.0,0.0,0.0,-0.17,1.24,0.0
20210102:0610,0.0,0.0,0.0,0.0,0.0,-0.02,1.24,0.0
20210102:0710,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0
20210102:0810,4040.82,85.99,68.62,1.86,7.86,0.08,1.17,0.0
20210102:0910,2172.02,8.57,81.49,2.29,14.65,0.26,1.1,0.0
20210102:1010,663.58,0.0,35.97,1.0,19.46,0.51,1.03,0.0
20210102:1110,730.57,0.0,38.6,1.07,21.83,0.88,1.1,0.0
20210102:1210,775.97,0.0,40.35,1.12,21.5,1.02,1.1,0.0
20210102:1310,2093.91,0.0,87.72,2.44,18.51,1.12,1.1,0.0
20210102:1410,257.81,0.0,19.3,0.54,13.17,1.16,1.1,0.0
20210102:1510,580.71,4.82,28.07,0.78,5.97,0.94,0.9,0.0
20210102:1610,0.0,0.0,0.0,0.0,0.0,1.57,0.41,0.0
20210102:1710,0.0,0.0,0.0,0.0,0.0,1.4,0.48,0.0
20210102:1810,0.0,0.0,0.0,0.0,0.0,0.8,0.97,0.0
20210102:1910,0.0,0.0,0.0,0.0,0.0,1.01,0.76,0.0
20210102:2010,0.0,0.0,0.0,0.0,0.0,1.18,0.76,0.0
20210102:2110,0.0,0.0,0.0,0.0,0.0,1.14,0.97,0.0
20210102:2210,0.0,0.0,0.0,0.0,0.0,1.11,1.03,0.0
20210102:2310,0.0,0.0,0.0,0.0,0.0,0.89,1.17,0.0
20210103:0010,0.0,0.0,0.0,0.0,0.0,1.2,0.97,0.0
20210103:0110,0.0,0.0,0.0,0.0,0.0,2.0,0.62,0.0
20210103:0210,0.0,0.0,0.0,0.0,0.0,2.34,0.07,0.0
20210103:0310,0.0,0.0,0.0,0.0,0.0,1.66,0.76,0.0
20210103:0410,0.0,0.0,0.0,0.0,0.0,0.69,0.97,0.0
20210103:0510,0.0,0.0,0.0,0.0,0.0,1.0,0.48,0.0
20210103:0610,0.0,0.0,0.0,0.0,0.0,0.97,0.28,0.0
20210103:0710,0.0,0.0,0.0,0.0,0.0,0.79,0.97,0.0
20210103:0810,146.37,0.0,14.04,0.39,7.88,0.86,0.97,0.0
20210103:0910,238.44,0.0,18.42,0.51,14.69,1.25,0.76,0.0
20210103:1010,1079.82,0.0,51.76,1.44,19.52,1.26,0.83,0.0
20210103:1110,1320.16,0.0,60.53,1.68,21.92,1.4,0.9,0.0
20210103:1210,637.54,0.0,35.09,0.98,21.61,1.6,1.17,0.0
20210103:1310,1344.61,0.0,61.41,1.71,18.63,1.42,1.03,0.0
20210103:1410,1319.53,0.0,60.53,1.68,13.3,1.48,0.83,0.0
20210103:1510,735.65,9.47,29.8,0.83,6.1,2.43,0.41,0.0
20210103:1610,0.0,0.0,0.0,0.0,0.0,2.23,0.07,0.0
20210103:1710,0.0,0.0,0.0,0.0,0.0,1.84,0.07,0.0
20210103:1810,0.0,0.0,0.0,0.0,0.0,1.6,0.14,0.0
20210103:1910,0.0,0.0,0.0,0.0,0.0,1.67,0.69,0.0
20210103:2010,0.0,0.0,0.0,0.0,0.0,1.16,0.34,0.0
20210103:2110,0.0,0.0,0.0,0.0,0.0,0.73,0.55,0.0
20210103:2210,0.0,0.0,0.0,0.0,0.0,-1.08,1.31,0.0
20210103:2310,0.0,0.0,0.0,0.0,0.0,-1.39,1.45,0.0
20210104:0010,0.0,0.0,0.0,0.0,0.0,-1.58,1.52,0.0
20210104:0110,0.0,0.0,0.0,0.0,0.0,-1.73,1.38,0.0
20210104:0210,0.0,0.0,0.0,0.0,0.0,-1.55,1.1,0.0
20210104:0310,0.0,0.0,0.0,0.0,0.0,-1.26,0.97,0.0
20210104:0410,0.0,0.0,0.0,0.0,0.0,-0.92,1.1,0.0
20210104:0510,0.0,0.0,0.0,0.0,0.0,-0.91,1.17,0.0
20210104:0610,0.0,0.0,0.0,0.0,0.0,-0.79,1.1,0.0
20210104:0710,0.0,0.0,0.0,0.0,0.0,-0.38,0.9,0.0
20210104:0810,860.11,4.06,39.36,1.1,7.91,-0.07,0.76,0.0
20210104:0910,1061.72,0.0,50.88,1.42,14.74,0.12,0.62,0.0
20210104:1010,4100.2,24.87,130.88,3.73,19.59,0.67,0.76,0.0
20210104:1110,1643.7,0.0,71.93,2.0,22.01,0.87,0.76,0.0
20210104:1210,1666.24,0.0,72.81,2.03,21.72,1.19,0.83,0.0
20210104:1310,3224.53,12.58,113.97,3.22,18.75,1.32,0.76,0.0
20210104:1410,440.69,0.0,27.19,0.76,13.44,1.59,0.62,0.0
20210104:1510,377.51,0.0,24.56,0.68,6.24,1.68,0.55,0.0
20210104:1610,0.0,0.0,0.0,0.0,0.0,1.53,0.28,0.0
20210104:1710,0.0,0.0,0.0,0.0,0.0,1.15,0.34,0.0
20210104:1810,0.0,0.0,0.0,0.0,0.0,0.94,0.41,0.0
20210104:1910,0.0,0.0,0.0,0.0,0.0,0.5,0.9,0.0
20210104:2010,0.0,0.0,0.0,0.0,0.0,0.56,0.76,0.0
20210104:2110,0.0,0.0,0.0,0.0,0.0,0.47,0.76,0.0
20210104:2210,0.0,0.0,0.0,0.0,0.0,0.32,0.76,0.0
20210104:2310,0.0,0.0,0.0,0.0,0.0,-0.15,0.83,0.0
20210105:0010,0.0,0.0,0.0,0.0,0.0,-0.5,0.9,0.0
20210105:0110,0.0,0.0,0.0,0.0,0.0,-0.48,0.9,0.0
20210105:0210,0.0,0.0,0.0,0.0,0.0,-0.97,0.83,0.0
20210105:0310,0.0,0.0,0.0,0.0,0.0,-0.61,0.76,0.0
20210105:0410,0.0,0.0,0.0,0.0,0.0,-0.43,0.97,0.0
20210105:0510,0.0,0.0,0.0,0.0,0.0,-0.59,0.97,0.0
20210105:0610,0.0,0.0,0.0,0.0,0.0,-1.23,1.1,0.0
20210105:0710,0.0,0.0,0.0,0.0,0.0,-1.81,0.83,0.0
20210105:0810,603.88,0.0,33.34,0.93,7.94,-1.91,1.03,0.0
20210105:0910,737.24,0.0,38.6,1.07,14.8,-0.94,0.97,0.0
20210105:1010,3984.94,22.3,129.38,3.69,19.67,0.38,0.76,0.0
20210105:1110,2817.18,2.36,110.05,3.08,22.11,0.59,0.76,0.0
20210105:1210,2047.56,0.0,85.97,2.39,21.84,0.55,0.76,0.0
20210105:1310,1445.58,0.0,64.92,1.81,18.89,0.92,0.76,0.0
20210105:1410,869.32,0.0,43.86,1.22,13.58,0.8,0.69,0.0
20210105:1510,112.08,0.0,12.28,0.34,6.39,0.58,0.69,0.0
